Delta_T_C,Rload_ohm,Material,Seebeck_V_per_K
238.3,19.64,Skutterudite,0.0002
265.62,15.27,Skutterudite,0.0002
51.11,11.04,Skutterudite,0.0002
233.68,5.31,Skutterudite,0.0002
170.75,3.08,PbTe,0.00018
123.14,9.57,Bi2Te3,0.00022
59.4,3.66,PbTe,0.00018
248.65,17.67,Skutterudite,0.0002
81.8,3.08,Bi2Te3,0.00022
179.65,13.61,Bi2Te3,0.00022
194.55,11.46,Bi2Te3,0.00022
244.86,16.2,PbTe,0.00018
131.52,3.29,Skutterudite,0.0002
122.22,18.18,Bi2Te3,0.00022
79.75,4.16,Bi2Te3,0.00022
222.63,18.08,Skutterudite,0.0002
117.45,3.87,Skutterudite,0.0002
102.3,5.47,Skutterudite,0.0002
260.39,18.74,Bi2Te3,0.00022
127.53,6.4,Skutterudite,0.0002
69.48,8.43,Bi2Te3,0.00022
63.96,18.37,Bi2Te3,0.00022
298.53,15.6,Bi2Te3,0.00022
187.52,5.25,Skutterudite,0.0002
60.99,5.14,Bi2Te3,0.00022
284.31,16.35,Skutterudite,0.0002
225.03,7.6,Skutterudite,0.0002
217.71,10.51,Skutterudite,0.0002
295.35,18.15,PbTe,0.00018
118.77,7.85,Skutterudite,0.0002
206.13,5.74,Skutterudite,0.0002
271.37,7.87,Skutterudite,0.0002
81.7,18.34,Bi2Te3,0.00022
205.53,2.13,PbTe,0.00018
229.01,11.29,Skutterudite,0.0002
71.78,19.31,Skutterudite,0.0002
149.11,5.74,Skutterudite,0.0002
243.67,15.22,Skutterudite,0.0002
126.54,16.73,PbTe,0.00018
173.82,12.87,Bi2Te3,0.00022
217.4,17.7,Bi2Te3,0.00022
298.05,19.2,PbTe,0.00018
241.41,10.81,Bi2Te3,0.00022
164.36,19.44,Skutterudite,0.0002
153.76,10.03,Skutterudite,0.0002
169.41,18.82,PbTe,0.00018
176.32,9.25,Bi2Te3,0.00022
288.98,5.62,PbTe,0.00018
107.51,13.97,PbTe,0.00018
64.65,14.97,Skutterudite,0.0002
279.65,18.7,Skutterudite,0.0002
241.32,6.87,Bi2Te3,0.00022
223.57,14.67,PbTe,0.00018
165.13,5.13,PbTe,0.00018
263.67,1.09,PbTe,0.00018
166.85,18.63,PbTe,0.00018
96.18,11.26,PbTe,0.00018
150.3,4.36,PbTe,0.00018
166.85,17.88,PbTe,0.00018
93.2,11.56,Skutterudite,0.0002
146.06,2.78,Bi2Te3,0.00022
238.57,10.51,Bi2Te3,0.00022
57.11,8.63,PbTe,0.00018
127.98,12.14,Skutterudite,0.0002
85.53,9.33,Skutterudite,0.0002
282.71,16.82,PbTe,0.00018
125.15,14.16,PbTe,0.00018
57.42,5.76,Bi2Te3,0.00022
293.13,3.53,PbTe,0.00018
127.82,15.62,Bi2Te3,0.00022
193.29,19.15,PbTe,0.00018
152.15,17.19,PbTe,0.00018
76.54,6.79,Skutterudite,0.0002
251.11,18.75,Skutterudite,0.0002
284.83,7.54,Bi2Te3,0.00022
170.8,8.19,Skutterudite,0.0002
237.36,19.02,Skutterudite,0.0002
143.55,14.58,Skutterudite,0.0002
299.46,15.43,PbTe,0.00018
277.54,5.42,Bi2Te3,0.00022
121.12,3.24,Bi2Te3,0.00022
264.57,10.29,Bi2Te3,0.00022
158.83,9.61,PbTe,0.00018
101.06,15.29,Bi2Te3,0.00022
241.21,1.09,Skutterudite,0.0002
61.95,6.47,PbTe,0.00018
200.63,8.88,PbTe,0.00018
50.12,19.75,PbTe,0.00018
288.29,18.42,Skutterudite,0.0002
280.2,18.14,PbTe,0.00018
50.71,11.35,Skutterudite,0.0002
250.57,6.79,Skutterudite,0.0002
170.99,12.71,Skutterudite,0.0002
190.8,6.5,PbTe,0.00018
290.28,13.64,PbTe,0.00018
96.46,17.91,Bi2Te3,0.00022
221.31,2.43,Skutterudite,0.0002
169.92,3.01,Bi2Te3,0.00022
272.72,18.07,Skutterudite,0.0002
289.63,2.05,PbTe,0.00018
293.1,6.16,Bi2Te3,0.00022
125.3,15.51,PbTe,0.00018
91.43,13.27,Bi2Te3,0.00022
258.14,16.16,PbTe,0.00018
