Delta_T_C,Rload_ohm,Material,Seebeck_V_per_K,Voltage_V,Power_W,Efficiency_%
238.3,19.64,Skutterudite,0.0002,0.04766000000000001,0.00011565558044806521,0.00048533604887983714
265.62,15.27,Skutterudite,0.0002,0.053124000000000005,0.00018481724793713167,0.0006957956777996072
51.11,11.04,Skutterudite,0.0002,0.010222,9.464609057971015e-06,0.00018518115942028985
233.68,5.31,Skutterudite,0.0002,0.04673600000000001,0.0004113472120527309,0.0017603013182674208
170.75,3.08,PbTe,0.00018,0.030735000000000002,0.0003067013717532468,0.001796201298701299
123.14,9.57,Bi2Te3,0.00022,0.0270908,7.66887611954023e-05,0.0006227770114942528
59.4,3.66,PbTe,0.00018,0.010692,3.123466229508197e-05,0.0005258360655737705
248.65,17.67,Skutterudite,0.0002,0.04973,0.00013995885116015847,0.0005628749292586304
81.8,3.08,Bi2Te3,0.00022,0.017996,0.00010514805714285717,0.0012854285714285717
179.65,13.61,Bi2Te3,0.00022,0.039523,0.00011477351425422485,0.0006388728875826599
194.55,11.46,Bi2Te3,0.00022,0.042801000000000006,0.0001598538918848168,0.0008216596858638745
244.86,16.2,PbTe,0.00018,0.044074800000000004,0.00011991283920000003,0.00048972
131.52,3.29,Skutterudite,0.0002,0.026304000000000004,0.00021030407781155022,0.0015990273556231007
122.22,18.18,Bi2Te3,0.00022,0.0268884,3.976820982178218e-05,0.0003253821782178218
79.75,4.16,Bi2Te3,0.00022,0.017545,7.39968810096154e-05,0.000927860576923077
222.63,18.08,Skutterudite,0.0002,0.044526,0.00010965512588495579,0.0004925442477876108
117.45,3.87,Skutterudite,0.0002,0.02349,0.00014257883720930232,0.0012139534883720928
102.3,5.47,Skutterudite,0.0002,0.02046,7.652862888482633e-05,0.0007480804387568556
260.39,18.74,Bi2Te3,0.00022,0.0572858,0.00017511541524226252,0.000672512059765208
127.53,6.4,Skutterudite,0.0002,0.025506,0.000101649380625,0.0007970624999999999
69.48,8.43,Bi2Te3,0.00022,0.015285600000000002,2.7716437409252675e-05,0.0003989124555160143
63.96,18.37,Bi2Te3,0.00022,0.0140712,1.0778370682634731e-05,0.00016851736526946108
298.53,15.6,Bi2Te3,0.00022,0.0656766,0.00027650101202307694,0.0009262084615384617
187.52,5.25,Skutterudite,0.0002,0.037504,0.0002679142887619048,0.0014287238095238095
60.99,5.14,Bi2Te3,0.00022,0.0134178,3.502672312062257e-05,0.0005743027237354086
284.31,16.35,Skutterudite,0.0002,0.056862,0.00019775455926605503,0.0006955596330275229
225.03,7.6,Skutterudite,0.0002,0.045006000000000004,0.00026651842578947376,0.001184368421052632
217.71,10.51,Skutterudite,0.0002,0.043542000000000004,0.0001803906530922931,0.000828582302568982
295.35,18.15,PbTe,0.00018,0.05316300000000001,0.00015571926000000006,0.0005272363636363638
118.77,7.85,Skutterudite,0.0002,0.023754,7.187930140127389e-05,0.0006051974522292993
206.13,5.74,Skutterudite,0.0002,0.041226,0.00029609461254355397,0.0014364459930313587
271.37,7.87,Skutterudite,0.0002,0.054274,0.0003742906068614994,0.0013792630241423126
81.7,18.34,Bi2Te3,0.00022,0.017974,1.7615304034896404e-05,0.0002156095965103599
205.53,2.13,PbTe,0.00018,0.036995400000000005,0.0006425632024225354,0.0031263718309859165
229.01,11.29,Skutterudite,0.0002,0.045802,0.0001858125069973428,0.0008113728963684678
71.78,19.31,Skutterudite,0.0002,0.014356,1.0672953702744694e-05,0.0001486897980321077
149.11,5.74,Skutterudite,0.0002,0.029822000000000005,0.00015493931777003488,0.0010390940766550525
243.67,15.22,Skutterudite,0.0002,0.048734,0.00015604485913272008,0.000640394218134034
126.54,16.73,PbTe,0.00018,0.0227772,3.101021158637179e-05,0.00024506252241482363
173.82,12.87,Bi2Te3,0.00022,0.0382404,0.00011362301415384617,0.0006536820512820512
217.4,17.7,Bi2Te3,0.00022,0.047828,0.00012923828158192092,0.0005944723163841808
298.05,19.2,PbTe,0.00018,0.053649,0.00014990704171875002,0.000502959375
241.41,10.81,Bi2Te3,0.00022,0.0531102,0.0002609337043515264,0.0010808736355226644
164.36,19.44,Skutterudite,0.0002,0.032872000000000005,5.558479341563787e-05,0.0003381893004115226
153.76,10.03,Skutterudite,0.0002,0.030751999999999998,9.428569332003987e-05,0.0006132003988035892
169.41,18.82,PbTe,0.00018,0.0304938,4.940870554941552e-05,0.000291651647183847
176.32,9.25,Bi2Te3,0.00022,0.0387904,0.00016266974401729734,0.0009225824864864865
288.98,5.62,PbTe,0.00018,0.052016400000000004,0.0004814423254377225,0.0016660056939501783
107.51,13.97,PbTe,0.00018,0.019351800000000002,2.6806883553328568e-05,0.0002493431639226915
64.65,14.97,Skutterudite,0.0002,0.012930000000000002,1.1167995991983971e-05,0.00017274549098196393
279.65,18.7,Skutterudite,0.0002,0.05593,0.00016728154545454546,0.0005981818181818182
241.32,6.87,Bi2Te3,0.00022,0.0530904,0.00041027519245414847,0.0017001292576419213
223.57,14.67,PbTe,0.00018,0.0402426,0.00011039310530061352,0.0004937742331288345
165.13,5.13,PbTe,0.00018,0.0297234,0.0001722184225263158,0.0010429263157894736
263.67,1.09,PbTe,0.00018,0.047460600000000006,0.002066521607669725,0.007837530275229357
166.85,18.63,PbTe,0.00018,0.030033,4.841551739130435e-05,0.0002901739130434783
96.18,11.26,PbTe,0.00018,0.017312400000000002,2.661804562699823e-05,0.0002767523978685613
150.3,4.36,PbTe,0.00018,0.027054000000000005,0.00016787131100917435,0.0011169082568807341
166.85,17.88,PbTe,0.00018,0.030033,5.0446369630872484e-05,0.00030234563758389267
93.2,11.56,Skutterudite,0.0002,0.01864,3.0056193771626296e-05,0.00032249134948096885
146.06,2.78,Bi2Te3,0.00022,0.0321332,0.00037141818066187054,0.002542915107913669
238.57,10.51,Bi2Te3,0.00022,0.0524854,0.0002621043970656518,0.0010986477640342533
